id;code;date;detail;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2021-11-24T08:11:46;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-11-23T20:04:28;75071;94375
2;program Unbranded;2021-11-24T08:20:46;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2021-11-24T00:45:17;8068;31806
3;Indian Rupee Ngultrum;2021-11-24T10:18:57;program PNG parse;ISSUED;CASH_ON_DELIVERY;2021-11-24T07:45:18;92121;74564
4;transmitting EXE parse;2021-11-24T06:42:47;open architecture;PAID;PAYPAL;2021-11-24T13:46:51;99574;33894
5;attitude-oriented;2021-11-24T01:13:44;Integration structure;CANCELLED;PAYPAL;2021-11-24T03:21:14;72584;98923
6;SDD auxiliary Utah;2021-11-24T04:18:12;Intelligent Frozen Salad;CANCELLED;PAYPAL;2021-11-23T19:40:23;7073;6807
7;Customer;2021-11-24T14:45:16;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2021-11-23T19:01:48;32780;10756
8;Arizona Awesome Fresh Soap system;2021-11-24T00:58:57;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2021-11-24T00:48:00;50263;19746
9;applications Generic;2021-11-23T23:13:43;Assurance;ISSUED;CASH_ON_DELIVERY;2021-11-24T13:51:22;36970;88317
10;functionalities bifurcated;2021-11-24T08:59:07;Investment Account;PAID;CREDIT_CARD;2021-11-24T08:59:07;94911;93817
