id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-11-23T16:23:30;payment unleash Jamaican Dollar;1
2;Rest;2021-11-24T11:40:00;Plains;2
3;Quality Plastic plum;2021-11-23T16:00:22;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-11-24T12:27:34;Architect SSL;4
5;zero tolerance;2021-11-24T09:23:53;user-facing CSS;5
6;ADP Ouguiya;2021-11-24T05:20:21;Garden;6
7;auxiliary;2021-11-24T13:36:21;functionalities Bedfordshire withdrawal;7
8;Data;2021-11-23T16:34:22;Viaduct hybrid;8
9;mesh;2021-11-24T15:00:01;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-11-24T12:58:55;Re-engineered withdrawal Ball;10
